compound,lap_age,track_temp,degradation_percent,lap_time_loss
Hard,12,49.2,4.61,0.195
Soft,32,35.0,100.0,4.539
Hard,18,33.1,6.52,0.301
Soft,26,38.9,100.0,4.564
Hard,36,20.1,12.58,0.561
Soft,16,27.1,68.06,2.692
Soft,14,41.4,100.0,4.555
Hard,3,50.1,1.08,0.049
Hard,29,35.6,10.84,0.418
Hard,6,20.7,1.93,0.095
Medium,39,46.5,83.52,4.279
Hard,31,28.3,11.37,0.513
Hard,21,23.5,7.32,0.375
Hard,28,40.7,9.81,0.451
Medium,31,23.1,46.25,1.771
Soft,16,51.2,100.0,5.113
Soft,10,41.1,75.94,3.616
Hard,43,40.8,17.29,0.734
Medium,7,46.4,11.68,0.568
Soft,9,52.3,74.82,3.841
Hard,35,54.2,14.56,0.631
Hard,44,22.6,14.17,0.65
Hard,4,39.6,1.33,0.054
Soft,4,51.0,25.38,1.068
Medium,20,49.3,40.26,1.632
Medium,5,43.3,6.64,0.284
Medium,4,33.3,4.22,0.166
Medium,14,21.0,16.28,0.724
Soft,16,54.2,100.0,4.77
Soft,29,26.0,100.0,4.684
Soft,45,16.5,100.0,5.053
Hard,17,20.0,5.35,0.24
Medium,3,30.6,3.23,0.145
Medium,16,19.7,19.43,0.791
Soft,45,43.4,100.0,4.984
Soft,20,52.1,100.0,4.569
Hard,37,20.3,12.54,0.514
Hard,9,20.8,2.94,0.121
Medium,1,25.1,0.7,0.033
Soft,41,54.9,100.0,3.847
Soft,39,26.9,100.0,4.013
Medium,12,45.9,20.11,0.807
Medium,7,39.6,10.19,0.527
Hard,21,28.3,7.07,0.33
Soft,7,30.2,29.79,1.399
Soft,30,35.5,100.0,4.81
Medium,34,52.1,84.41,4.115
Medium,25,54.1,59.2,2.371
Soft,26,39.2,100.0,5.08
Soft,7,19.2,13.12,0.608
Medium,13,18.2,14.22,0.608
Medium,30,43.7,62.6,2.913
Soft,13,25.7,47.28,2.413
Soft,38,20.9,100.0,4.962
Soft,0,25.8,0.0,0.0
Hard,20,40.1,7.16,0.334
Medium,44,48.4,98.33,4.233
Hard,20,27.9,6.91,0.347
Hard,32,49.2,14.36,0.732
Hard,2,30.5,0.57,0.024
Hard,30,35.6,11.24,0.522
Hard,18,39.9,7.18,0.359
Medium,17,48.8,32.29,1.299
Medium,37,45.2,72.08,3.376
Hard,19,16.9,6.12,0.245
Hard,33,38.0,11.34,0.574
Medium,29,35.0,45.55,2.33
Hard,5,28.2,1.45,0.074
Soft,13,23.1,41.8,2.11
Medium,3,28.8,2.96,0.136
Medium,14,36.6,19.78,0.964
Hard,28,38.5,9.76,0.403
Medium,14,51.8,25.3,1.09
Hard,32,46.3,13.6,0.664
Hard,1,27.2,0.27,0.011
Medium,11,20.5,10.66,0.527
Soft,20,27.0,96.79,4.548
Hard,22,15.6,7.06,0.342
Hard,4,15.7,1.18,0.051
Hard,5,50.2,1.89,0.078
Medium,31,42.1,65.45,2.936
Soft,39,40.4,100.0,3.954
Medium,40,53.0,95.63,4.235
Medium,11,17.3,9.63,0.451
Hard,19,15.4,5.6,0.216
Soft,4,32.8,13.84,0.609
Hard,40,50.4,15.8,0.744
Medium,12,31.0,15.37,0.663
Soft,5,21.3,8.74,0.363
Soft,33,54.1,100.0,4.399
Medium,28,28.8,40.81,2.054
Hard,42,23.0,13.6,0.66
Soft,2,37.7,6.61,0.261
Hard,22,22.6,7.8,0.393
Hard,38,15.1,12.1,0.618
Soft,4,45.2,21.54,1.094
Medium,3,46.4,4.13,0.185
Soft,39,20.2,100.0,4.448
Soft,5,27.2,15.29,0.665
Soft,21,45.9,100.0,4.523
Soft,15,20.7,40.67,1.664
Medium,36,32.3,63.25,2.68
Hard,42,32.9,16.54,0.68
Soft,15,34.7,93.69,4.701
Hard,45,21.6,14.21,0.56
Soft,8,27.2,25.64,1.117
Hard,25,42.4,9.97,0.436
Medium,25,38.5,48.21,2.437
Medium,23,16.1,24.21,1.155
Hard,22,41.7,7.86,0.31
Medium,37,18.8,45.18,1.864
Hard,43,45.1,16.25,0.696
Soft,11,27.8,44.99,1.772
Medium,17,34.0,23.54,1.133
Soft,19,20.9,55.79,2.244
Hard,26,27.6,8.38,0.329
Medium,3,25.3,2.6,0.1
Hard,1,32.5,0.29,0.015
Medium,44,15.4,57.55,2.804
Soft,4,48.6,24.76,1.108
Hard,13,33.5,4.54,0.197
Hard,38,46.3,15.44,0.742
Soft,19,45.9,100.0,4.172
Medium,32,27.5,50.51,2.052
Hard,42,34.7,15.48,0.784
Soft,8,45.2,58.28,2.565
Soft,10,26.2,38.19,1.777
Hard,29,32.9,10.68,0.53
Hard,32,17.9,9.92,0.494
Medium,45,37.1,82.35,3.659
Medium,5,43.9,6.76,0.262
Medium,30,48.3,60.68,2.586
Hard,25,35.1,8.74,0.343
Medium,10,26.0,10.67,0.544
Medium,25,39.6,46.55,2.256
Hard,26,50.7,9.78,0.398
Medium,16,19.4,18.59,0.837
Hard,30,35.0,11.94,0.505
Medium,0,19.5,0.0,0.0
Soft,1,50.4,3.38,0.14
Medium,8,34.7,9.62,0.416
Soft,43,37.4,100.0,4.463
Hard,21,52.8,9.0,0.458
Medium,18,49.5,34.72,1.764
Soft,37,54.3,100.0,4.561
Hard,26,23.8,8.81,0.437
Medium,8,26.6,9.69,0.415
Soft,3,26.1,6.5,0.256
Soft,25,40.7,100.0,3.842
Hard,32,16.8,9.83,0.397
Medium,13,38.2,22.07,0.994
Medium,33,40.0,60.51,2.442
Medium,31,17.2,33.81,1.481
Hard,24,31.1,8.79,0.342
Hard,38,41.7,15.55,0.705
Soft,16,39.6,100.0,5.056
Medium,42,38.6,89.03,4.399
Medium,35,19.4,47.31,2.387
Medium,16,42.0,27.92,1.139
Medium,5,44.6,6.52,0.27
Soft,14,52.9,100.0,4.688
Medium,18,38.6,28.78,1.373
Soft,3,24.3,6.16,0.272
Medium,35,44.9,70.57,3.024
Medium,27,44.3,57.64,2.289
Medium,22,31.0,34.28,1.725
Soft,38,54.2,100.0,3.903
Medium,32,34.7,55.2,2.132
Hard,4,33.8,1.34,0.063
Hard,24,49.1,10.44,0.439
Hard,30,24.1,10.07,0.51
Hard,1,21.0,0.28,0.014
Hard,8,52.8,3.4,0.139
Soft,37,50.9,100.0,4.892
Hard,19,30.8,6.48,0.316
Soft,6,34.0,28.53,1.342
Medium,35,38.3,69.04,3.14
Soft,35,31.9,100.0,4.234
Soft,44,37.3,100.0,5.017
Medium,6,48.0,9.11,0.458
Medium,22,52.9,50.59,2.428
Medium,12,37.1,16.46,0.77
Hard,28,38.1,10.77,0.48
Soft,33,18.2,100.0,3.938
Hard,1,20.0,0.29,0.012
Soft,30,49.9,100.0,4.628
Soft,25,43.4,100.0,4.208
Hard,31,23.2,11.01,0.507
Medium,33,33.6,59.16,2.556
Medium,18,54.4,38.19,1.736
Soft,43,52.4,100.0,4.131
Soft,37,32.3,100.0,4.6
Hard,39,32.6,14.72,0.631
Soft,31,27.6,100.0,4.934
Medium,17,17.3,16.27,0.648
Hard,6,50.5,2.44,0.122
Medium,39,31.6,73.18,3.711
Soft,29,46.5,100.0,4.951
Soft,13,22.0,41.6,1.804
Soft,31,23.0,100.0,4.901
Soft,19,22.7,71.67,3.656
Soft,2,16.8,1.61,0.076
Medium,10,31.9,12.16,0.526
Medium,37,18.5,45.07,2.158
Soft,4,21.3,7.55,0.344
Hard,37,44.9,14.15,0.61
Soft,24,26.0,100.0,4.751
Medium,2,15.0,1.32,0.063
Medium,10,36.9,15.6,0.607
Medium,20,30.0,30.26,1.366
Medium,34,49.5,74.02,3.014
Soft,8,49.6,71.74,2.762
Medium,22,43.8,42.71,1.909
Medium,19,40.7,31.9,1.279
Soft,5,35.3,23.58,0.969
Medium,9,15.1,7.65,0.369
Hard,29,48.9,11.08,0.562
Soft,17,48.4,100.0,4.534
Medium,41,46.6,100.0,4.91
Hard,35,19.8,11.49,0.5
Soft,5,53.2,36.88,1.484
Soft,16,30.6,87.1,3.597
Medium,23,39.2,41.11,1.987
Hard,40,43.9,15.74,0.69
Hard,43,19.1,13.43,0.658
Hard,10,21.7,3.43,0.176
Soft,34,30.0,100.0,3.862
Soft,15,49.3,100.0,4.316
Hard,24,48.2,9.87,0.412
Hard,12,50.7,4.78,0.187
Medium,25,15.3,27.81,1.346
Soft,16,42.9,100.0,5.163
Medium,36,42.6,70.92,2.911
Medium,18,46.9,35.52,1.583
Medium,24,32.2,36.98,1.829
Hard,25,22.4,7.81,0.403
Soft,37,52.4,100.0,3.838
Hard,37,34.3,13.44,0.521
Soft,8,47.1,60.04,2.987
Hard,45,15.2,14.56,0.586
Hard,30,42.1,12.57,0.537
Soft,7,39.8,43.71,1.988
Hard,3,39.1,0.97,0.045
Soft,25,41.6,100.0,4.077
Soft,38,52.7,100.0,3.999
Soft,5,53.4,36.18,1.414
Medium,10,34.1,12.65,0.615
Medium,25,29.0,36.65,1.858
Soft,17,19.3,44.29,2.246
Hard,1,43.0,0.36,0.016
Soft,3,18.8,3.82,0.164
Hard,38,40.1,13.85,0.564
Hard,11,42.6,3.91,0.191
Medium,1,43.7,1.0,0.051
Soft,22,37.9,100.0,3.998
Soft,37,34.6,100.0,4.737
Hard,24,17.6,7.13,0.363
Soft,22,47.1,100.0,4.619
Medium,14,22.1,14.63,0.582
Medium,10,26.2,11.43,0.446
Medium,4,35.5,4.27,0.2
Hard,26,19.6,9.18,0.468
Soft,33,34.8,100.0,4.284
Hard,45,27.3,17.13,0.69
Medium,9,51.2,17.15,0.816
Medium,29,17.4,32.15,1.388
Medium,37,22.5,51.58,2.316
Soft,30,48.7,100.0,4.037
Soft,44,25.5,100.0,4.603
Hard,39,36.5,15.92,0.804
Soft,28,20.7,93.78,4.839
Medium,3,22.2,2.49,0.098
Medium,5,30.4,5.77,0.235
Medium,3,21.0,2.56,0.101
Soft,26,21.5,89.48,3.672
Hard,13,48.4,4.6,0.225
Hard,5,27.2,1.5,0.06
Hard,15,36.4,5.78,0.241
Soft,21,47.0,100.0,3.947
Soft,45,50.2,100.0,4.135
Medium,14,18.2,14.76,0.593
Hard,33,33.9,11.38,0.504
Medium,4,23.4,3.99,0.193
Medium,9,49.1,15.46,0.732
Hard,1,44.7,0.3,0.015
Medium,43,44.5,96.35,4.052
Hard,29,50.0,12.51,0.581
Medium,33,46.3,65.5,2.723
Hard,39,54.5,15.76,0.714
Medium,4,24.0,3.98,0.177
Hard,16,25.0,5.48,0.234
Hard,7,46.8,2.55,0.107
Soft,42,23.9,100.0,3.881
Medium,45,37.3,88.45,3.816
Medium,4,15.4,3.0,0.121
Soft,28,18.8,75.7,3.431
Medium,17,36.4,25.65,1.099
Hard,38,32.3,14.41,0.628
Soft,35,44.8,100.0,4.938
Medium,16,35.0,24.49,1.102
Soft,32,45.3,100.0,4.83
Medium,34,24.0,45.45,1.907
Hard,5,47.3,1.93,0.074
Hard,7,46.7,2.44,0.125
Hard,36,49.8,14.91,0.727
Medium,26,38.2,50.97,2.012
Hard,44,18.6,15.85,0.796
Hard,22,42.1,7.73,0.326
Soft,45,39.6,100.0,4.679
Medium,21,19.6,25.4,1.07
Hard,11,24.5,3.22,0.153
Medium,4,49.0,6.35,0.244
Medium,41,25.9,63.5,3.26
Medium,10,53.8,17.45,0.87
Medium,7,39.0,8.9,0.426
Hard,18,48.0,7.12,0.291
Hard,1,45.8,0.34,0.014
Hard,41,37.6,14.78,0.71
Soft,21,41.7,100.0,4.801
Medium,7,24.4,6.94,0.35
Medium,38,29.9,59.89,2.399
Soft,17,31.6,96.88,4.171
Medium,39,34.9,71.52,2.924
Medium,30,34.3,47.94,1.868
Soft,36,54.9,100.0,4.503
Hard,43,25.9,14.95,0.594
Medium,39,32.0,66.38,3.372
Medium,13,46.6,24.8,1.003
Medium,1,49.9,1.22,0.055
Hard,25,27.0,8.38,0.351
Medium,0,31.7,0.0,0.0
Hard,19,21.0,5.78,0.261
Medium,37,24.3,57.97,2.96
Soft,4,18.9,5.77,0.263
Soft,7,41.0,43.11,2.072
Hard,1,51.8,0.32,0.012
Medium,27,40.1,48.6,2.44
Soft,42,23.1,100.0,3.991
Hard,3,18.0,0.91,0.036
Soft,15,52.7,100.0,5.076
Medium,43,25.8,60.96,2.672
Medium,34,16.3,43.7,2.111
Soft,32,47.8,100.0,4.694
Medium,15,29.2,19.22,0.767
Hard,19,38.5,7.52,0.294
Soft,11,21.6,30.13,1.297
Soft,14,31.9,84.46,4.243
Soft,11,23.9,33.37,1.682
Soft,31,40.2,100.0,5.175
Soft,7,49.1,50.15,2.28
Soft,15,16.1,25.3,0.993
Soft,29,18.4,76.18,3.84
Hard,5,25.6,1.72,0.081
Medium,42,17.1,50.89,2.043
Soft,2,38.6,6.74,0.325
Hard,28,31.2,10.05,0.43
Medium,12,25.4,14.74,0.723
Medium,20,35.2,32.87,1.372
Soft,30,23.3,100.0,3.838
Soft,0,25.9,0.0,0.0
Soft,15,26.4,67.4,2.911
Hard,41,48.2,18.6,0.94
Hard,33,47.3,14.24,0.659
Soft,0,19.3,0.0,0.0
Soft,31,41.6,100.0,4.548
Hard,42,26.7,14.21,0.61
Medium,41,24.5,55.76,2.161
Medium,44,24.4,68.75,2.811
Medium,45,29.7,72.87,3.155
Soft,20,29.1,100.0,4.825
Soft,9,42.2,67.64,2.862
Medium,24,16.4,26.98,1.144
Hard,0,38.0,0.0,0.0
Soft,24,19.3,67.7,3.097
Medium,6,26.9,6.5,0.325
Hard,19,17.3,5.71,0.258
Hard,25,28.4,7.84,0.326
Hard,23,25.8,7.44,0.371
Medium,44,51.2,100.0,5.118
Medium,23,32.1,38.61,1.511
Soft,18,15.7,32.18,1.559
Medium,8,22.1,7.39,0.312
Hard,5,29.3,1.61,0.065
Hard,17,21.8,5.05,0.244
Medium,8,46.1,11.65,0.493
Medium,11,22.5,12.13,0.486
Soft,43,39.0,100.0,4.45
Hard,32,34.0,11.28,0.534
Soft,28,21.0,95.43,4.556
Soft,20,34.7,100.0,4.352
Soft,32,32.8,100.0,4.496
Hard,23,23.4,8.21,0.39
Soft,20,36.3,100.0,4.917
Medium,40,44.5,87.55,3.49
Medium,6,53.8,9.63,0.489
Medium,15,36.9,21.72,0.915
Soft,34,35.5,100.0,4.371
Soft,27,49.0,100.0,5.078
Medium,19,44.5,34.36,1.689
Hard,3,37.7,1.05,0.048
Soft,31,28.3,100.0,4.747
Soft,20,53.3,100.0,4.539
Soft,27,23.1,100.0,4.214
Medium,22,15.3,22.23,1.062
Hard,11,53.8,4.52,0.194
Medium,2,48.9,2.75,0.123
Hard,32,50.5,13.58,0.584
Medium,35,24.4,48.73,2.098
Hard,15,26.1,5.49,0.223
Medium,23,25.5,31.29,1.219
Medium,11,50.4,20.37,0.785
Hard,12,32.1,3.93,0.179
Medium,2,21.2,1.39,0.054
Medium,19,45.1,35.8,1.673
Hard,18,30.6,6.14,0.25
Medium,40,38.2,70.43,3.096
Medium,12,27.4,13.84,0.599
Soft,23,44.7,100.0,5.126
Hard,36,16.6,11.21,0.525
Soft,26,55.0,100.0,4.085
Hard,40,54.6,16.27,0.776
Hard,4,43.7,1.44,0.057
Soft,13,36.7,86.65,4.401
Hard,1,50.5,0.38,0.018
Hard,38,46.4,15.52,0.774
Hard,25,37.1,10.1,0.511
Hard,26,49.5,11.55,0.521
Hard,19,52.2,8.28,0.422
Medium,20,16.3,21.33,0.881
Hard,4,41.6,1.4,0.069
Hard,2,19.3,0.61,0.024
Medium,12,54.8,22.33,0.968
Hard,33,39.1,12.06,0.568
Hard,18,24.9,5.77,0.237
Medium,11,54.2,22.03,0.846
Medium,14,41.6,22.78,0.958
Medium,9,49.6,14.11,0.574
Soft,2,21.5,2.52,0.121
Soft,24,41.3,100.0,4.989
Soft,7,34.6,33.8,1.441
Medium,23,29.2,32.85,1.534
Soft,45,52.3,100.0,4.738
Medium,5,27.0,5.07,0.223
Medium,19,24.1,24.13,1.171
Soft,16,40.2,100.0,3.942
Hard,2,17.1,0.6,0.028
Medium,17,39.7,26.92,1.146
Hard,30,25.3,11.2,0.508
Medium,25,25.6,33.83,1.519
Hard,13,18.6,4.02,0.185
Soft,0,29.5,0.0,0.0
Medium,26,28.8,36.8,1.511
Soft,16,22.7,53.3,2.437
Soft,39,17.4,100.0,4.928
Soft,1,21.7,0.98,0.05
Soft,8,33.0,37.1,1.433
Medium,8,29.9,9.84,0.506
Medium,34,33.9,56.96,2.254
Hard,32,27.4,10.7,0.423
Hard,11,54.8,4.45,0.216
Hard,9,18.1,2.84,0.118
Hard,18,54.3,7.41,0.356
Hard,5,23.1,1.53,0.068
Hard,26,36.0,9.23,0.426
Hard,40,45.0,16.38,0.769
Hard,9,30.4,2.86,0.13
Soft,28,50.2,100.0,4.239
Hard,22,15.1,6.74,0.337
Soft,12,50.7,100.0,4.529
Soft,14,49.2,100.0,4.776
Soft,37,36.9,100.0,4.495
Medium,39,32.8,70.82,2.974
Medium,24,50.2,54.01,2.281
Medium,30,25.3,42.36,1.814
Soft,15,18.9,32.05,1.636
Medium,8,48.5,13.87,0.714
Hard,33,18.7,11.55,0.533
Hard,34,17.9,10.32,0.506
Hard,35,36.1,12.85,0.58
Hard,11,24.3,3.36,0.146
Soft,15,41.3,100.0,4.048
Medium,16,38.0,27.38,1.181
Soft,13,18.2,26.24,1.237
Soft,5,54.8,39.56,1.957
Medium,30,17.2,35.12,1.37
Soft,18,18.1,39.03,1.61
Medium,28,53.0,66.34,3.147
Medium,41,19.9,59.83,2.902
Soft,41,22.8,100.0,4.282
Medium,32,33.2,53.05,2.409
Medium,36,17.9,43.73,2.247
Medium,21,40.4,40.51,1.982
Soft,35,30.5,100.0,4.862
Medium,3,50.6,4.2,0.166
Medium,10,50.2,16.64,0.788
Hard,44,47.0,17.5,0.893
Hard,25,43.2,9.38,0.408
Medium,6,36.9,7.06,0.302
Soft,1,35.8,2.43,0.11
Soft,42,41.5,100.0,4.04
Medium,39,30.9,60.89,2.833
Soft,40,39.6,100.0,4.896
Medium,21,44.5,41.4,1.71
Soft,35,50.4,100.0,4.968
Hard,29,35.8,9.86,0.437
Medium,44,38.4,90.81,3.991
Medium,4,31.9,4.23,0.189
Hard,36,36.0,13.35,0.599
Hard,34,28.2,12.55,0.573
Soft,12,53.6,100.0,4.945
Soft,41,35.6,100.0,4.229
Soft,4,49.8,24.13,1.223
Hard,5,41.7,1.93,0.084
Hard,35,28.6,11.42,0.522
Soft,5,30.2,18.29,0.909
Hard,31,23.0,10.45,0.407
Medium,7,42.9,10.64,0.465
Medium,28,30.0,45.01,2.144
Medium,36,27.7,50.91,2.079
Soft,18,53.6,100.0,4.581
Hard,41,46.2,16.34,0.761
Medium,6,53.6,10.74,0.503
Hard,22,33.6,7.2,0.317
Medium,22,17.6,22.82,1.098
Hard,3,22.0,0.89,0.04
Hard,39,42.1,14.45,0.592
Soft,18,44.2,100.0,4.938
Medium,0,38.0,0.0,0.0
Hard,27,20.8,8.96,0.362
Medium,36,46.4,81.62,3.346
Medium,10,19.8,9.09,0.417
Medium,12,22.2,13.17,0.582
Soft,2,32.3,5.26,0.27
Hard,41,15.6,14.25,0.641
Soft,15,33.3,96.01,4.285
Medium,23,54.3,54.53,2.747
Hard,45,35.7,15.38,0.672
Soft,36,25.4,100.0,4.422
Soft,17,52.7,100.0,4.484
Hard,19,20.4,6.37,0.309
Hard,4,32.2,1.43,0.073
Medium,44,39.6,94.45,3.65
Medium,28,20.8,33.22,1.598
Hard,35,43.4,15.25,0.702
Hard,31,15.1,9.85,0.493
Medium,2,49.5,2.46,0.1
Hard,19,42.4,7.96,0.335
Soft,2,51.9,9.21,0.423
Soft,6,15.9,6.15,0.269
Hard,16,47.7,5.71,0.233
Hard,21,47.9,8.67,0.362
Medium,1,46.7,1.07,0.043
Hard,7,52.8,2.5,0.122
Soft,1,51.6,3.45,0.17
Hard,41,23.7,12.77,0.546
Medium,22,16.0,25.23,1.152
Medium,40,29.3,71.11,3.243
Hard,25,35.7,10.13,0.401
Medium,17,35.3,27.46,1.343
Medium,41,32.6,73.2,2.954
Soft,10,46.6,81.06,4.189
Soft,21,15.3,33.23,1.702
Soft,44,54.9,100.0,4.881
Medium,8,30.5,10.41,0.475
Medium,3,53.7,4.33,0.212
Soft,17,28.8,81.89,3.611
Soft,6,21.3,12.84,0.613
Soft,35,19.2,100.0,3.896
Medium,11,44.6,16.61,0.846
Medium,39,41.0,82.69,3.619
Soft,5,30.1,16.43,0.669
Soft,10,16.9,14.65,0.715
Soft,2,51.7,9.17,0.383
Soft,37,29.3,100.0,4.226
Hard,22,46.9,9.37,0.447
Medium,9,53.0,17.32,0.837
Hard,31,21.9,9.87,0.51
Medium,8,47.2,13.49,0.529
Hard,36,34.6,13.22,0.514
Medium,24,20.7,27.8,1.169
Medium,22,34.0,35.81,1.407
Medium,43,34.1,75.52,3.04
Hard,4,25.2,1.35,0.053
Soft,29,41.2,100.0,4.991
Medium,42,30.2,68.57,2.745
Hard,0,34.8,0.0,0.0
Hard,18,21.9,5.39,0.26
Hard,16,20.7,5.09,0.223
Medium,42,41.7,81.15,4.014
Medium,44,32.8,84.21,3.332
Hard,18,17.0,5.06,0.252
Hard,36,29.4,11.99,0.478
Soft,40,26.2,100.0,4.774
Hard,23,32.2,8.06,0.351
Hard,30,18.2,9.66,0.479
Soft,2,30.4,4.59,0.234
Medium,22,40.5,40.41,1.806
Medium,38,33.7,72.92,3.242
Medium,17,30.1,23.64,1.025
Medium,16,53.6,34.21,1.41
Hard,32,19.1,11.29,0.548
Hard,17,51.4,6.49,0.275
Soft,10,19.4,23.35,0.974
Medium,12,43.1,21.4,0.9
Medium,44,40.4,83.75,3.655
Soft,1,26.4,1.48,0.063
Hard,2,48.5,0.69,0.031
Hard,35,22.7,11.49,0.558
Medium,37,17.3,46.33,1.826
Soft,30,31.5,100.0,4.442
Soft,2,27.8,4.64,0.191
Medium,5,15.7,3.59,0.154
Hard,21,17.4,7.17,0.295
Medium,17,51.1,33.21,1.364
Medium,17,16.5,18.28,0.849
Medium,11,53.7,19.48,0.96
Hard,43,37.4,16.77,0.642
Soft,6,20.8,12.56,0.622
Medium,21,51.4,42.84,1.994
Hard,23,37.8,8.01,0.336
Hard,44,32.6,16.06,0.688
Soft,24,47.4,100.0,3.941
Hard,30,45.7,11.3,0.516
Hard,15,21.0,4.64,0.211
Medium,4,50.1,5.64,0.279
Hard,39,19.8,13.11,0.647
Hard,26,28.5,8.73,0.435
Hard,7,50.0,2.47,0.126
Medium,26,37.1,49.68,2.155
Soft,31,24.4,100.0,3.99
Soft,34,48.3,100.0,4.298
Soft,23,28.0,100.0,4.361
Medium,14,18.5,15.1,0.609
Soft,4,53.8,29.64,1.207
Soft,16,43.3,100.0,4.766
Soft,38,19.5,100.0,4.763
Medium,11,18.1,10.24,0.43
Medium,0,45.5,0.0,0.0
Medium,26,44.1,53.16,2.04
Hard,35,26.0,12.28,0.513
Medium,23,23.8,28.37,1.433
Soft,30,26.8,100.0,4.098
Hard,12,29.8,3.83,0.183
Medium,39,26.0,64.16,2.757
Hard,1,41.9,0.33,0.014
Medium,34,20.7,48.93,2.044
Hard,15,35.3,5.43,0.279
Medium,5,20.6,4.83,0.229
Hard,31,39.4,12.88,0.493
Soft,2,43.1,8.01,0.359
Soft,36,25.0,100.0,4.539
Medium,15,30.5,20.43,0.835
Soft,38,44.6,100.0,4.756
Medium,15,23.2,18.1,0.774
Medium,1,19.7,0.58,0.023
Soft,45,29.3,100.0,4.827
Hard,14,37.8,4.75,0.21
Soft,32,48.1,100.0,5.055
Hard,32,19.8,10.17,0.446
Hard,39,45.4,15.41,0.651
Soft,35,41.3,100.0,4.446
Soft,24,26.2,100.0,4.149
Medium,33,54.0,73.26,3.639
Soft,17,49.6,100.0,4.001
Medium,2,31.2,1.89,0.078
Hard,15,38.6,5.2,0.257
Hard,24,16.1,7.8,0.39
Soft,34,43.1,100.0,3.973
Soft,37,26.8,100.0,4.831
Hard,42,33.8,15.2,0.634
Medium,26,43.7,52.98,2.037
Soft,42,19.9,100.0,5.073
Medium,32,50.9,70.94,3.271
Medium,38,48.1,92.17,4.678
Soft,40,22.1,100.0,4.223
Medium,33,48.4,78.39,3.486
Soft,36,44.3,100.0,3.934
Hard,7,39.9,2.54,0.101
Hard,14,31.0,4.65,0.206
Soft,37,18.9,100.0,5.171
Medium,2,44.4,2.19,0.091
Hard,0,37.3,0.0,0.0
Hard,24,19.4,7.95,0.342
Hard,8,42.3,2.93,0.139
Hard,10,53.1,4.37,0.205
Hard,1,25.6,0.28,0.014
Soft,34,49.7,100.0,4.328
Soft,6,40.4,34.79,1.555
Medium,40,51.5,100.0,5.08
Medium,14,30.7,17.81,0.802
Medium,1,27.1,0.68,0.028
Medium,7,41.2,9.43,0.364
Hard,11,19.4,3.72,0.142
Soft,23,35.6,100.0,5.139
Hard,40,41.3,17.27,0.805
Medium,5,39.9,7.08,0.357
Medium,40,22.3,53.94,2.172
Soft,23,29.5,100.0,4.06
Medium,38,17.5,51.18,2.64
Hard,32,47.1,14.19,0.691
Medium,10,49.0,17.85,0.83
Medium,2,22.3,1.6,0.078
Medium,22,37.4,36.14,1.536
Medium,8,21.3,7.27,0.307
Hard,28,52.3,12.49,0.624
Hard,7,22.4,2.18,0.103
Hard,36,31.1,12.35,0.581
Hard,43,24.4,13.47,0.63
Hard,13,20.8,3.74,0.175
Medium,5,39.3,7.02,0.302
Medium,30,46.8,59.37,2.748
Medium,41,48.2,92.01,4.034
Soft,22,42.6,100.0,4.956
Medium,35,44.6,69.32,2.916
Medium,3,24.5,2.4,0.105
Soft,33,32.1,100.0,3.997
Hard,32,33.2,10.81,0.48
Hard,16,51.3,5.83,0.241
Soft,34,40.1,100.0,4.562
Soft,11,35.3,67.17,2.923
Soft,28,21.3,100.0,4.388
Soft,15,50.1,100.0,4.854
Hard,35,21.9,11.8,0.456
Soft,23,18.5,56.57,2.613
Hard,44,37.6,16.1,0.619
Soft,38,34.1,100.0,5.106
Medium,3,47.1,4.17,0.196
Soft,40,21.9,100.0,4.905
Medium,6,18.9,5.71,0.244
Medium,11,48.4,18.51,0.716
Soft,28,37.4,100.0,4.074
Soft,23,37.1,100.0,5.073
Hard,41,50.8,17.6,0.718
Soft,27,40.5,100.0,4.753
Soft,22,47.2,100.0,4.845
Soft,16,28.1,83.28,4.12
Hard,36,31.9,13.61,0.692
Soft,13,34.5,87.21,3.787
Medium,0,41.3,0.0,0.0
Soft,27,17.1,62.46,3.128
Hard,26,26.6,8.67,0.342
Soft,11,37.1,66.87,3.305
Hard,6,41.4,2.24,0.087
Hard,1,25.9,0.31,0.016
Soft,20,24.0,82.76,3.991
Medium,27,19.4,35.55,1.532
Soft,18,41.0,100.0,4.16
Medium,5,26.7,5.21,0.265
Soft,26,44.3,100.0,5.004
Medium,23,36.6,36.8,1.878
Soft,30,24.6,100.0,5.125
Hard,39,31.4,14.21,0.606
Soft,45,52.0,100.0,5.166
Medium,20,45.2,38.07,1.892
Medium,3,53.4,4.7,0.235
Hard,23,34.7,8.65,0.381
Hard,6,22.2,1.89,0.088
Medium,16,47.7,33.07,1.611
Hard,16,39.7,5.35,0.252
Hard,19,28.2,6.97,0.314
Medium,38,41.0,70.04,3.441
Soft,3,34.2,10.9,0.434
Medium,41,30.4,67.12,3.19
Hard,43,52.2,18.54,0.712
Soft,4,35.3,15.68,0.777
Soft,2,35.4,6.38,0.321
Hard,38,36.6,14.96,0.725
Medium,33,17.2,36.45,1.534
Soft,32,41.2,100.0,4.767
Medium,16,27.6,22.82,1.111
Hard,8,29.0,2.63,0.104
Hard,4,37.5,1.44,0.057
Soft,0,37.7,0.0,0.0
Soft,25,29.1,100.0,4.689
Soft,4,31.3,12.97,0.549
Medium,11,42.2,18.98,0.944
